,dates,days,day1,population,susceptibles,isolated,isolatedinfected,infectednotisolated,infected,importedinfections,accumulatedinfected,tested_mit,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,p_infected_all_simulated,p_infected_all,reff,positive rate,detection rate,actualdeaths,actualcases,actualnewtests_mit,actualnewdeaths,actualnewcases
13,2019-12-06,39,39,109580998.0,109580046.478,0.0,0.0,981.523,981.523,0.0,981.523,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,147.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.3489565043019593e-06,8.957054762359438e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
14,2019-12-07,42,42,109580998.0,109579833.225,0.0,0.0,1194.774,1194.774,0.0,1194.774,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,183.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.6722881096593042e-06,1.090311296489561e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
15,2019-12-08,45,45,109580998.0,109579577.286,0.0,0.0,1450.714,1450.714,0.0,1450.714,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,225.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.061853826153326e-06,1.3238736883925805e-05,0.0,0.0,2.336159987426881,,0.0,0.0,0.0,0.0,0.0,0.0
16,2019-12-09,48,48,109580998.0,109579356.65599999,0.0,0.0,1671.344,1671.344,0.0,1671.344,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,190.62900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.7396173011674891e-06,1.5252133403639927e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
17,2019-12-10,51,51,109580998.0,109579199.466,0.0,0.0,1828.534,1828.534,0.0,1828.534,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,127.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.1606939371002992e-06,1.6686597433617096e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
18,2019-12-11,54,54,109580998.0,109579143.20000002,0.0,0.0,1884.8000000000002,1884.8000000000002,0.0,1884.8000000000002,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,26.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.396948419834614e-07,1.7200062368477426e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
19,2019-12-12,57,57,109580998.0,109579081.303,0.0,0.0,1946.6979999999999,1946.6979999999999,0.0,1946.6979999999999,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,31.897000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9108148841644976e-07,1.7764923075440504e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
20,2019-12-13,60,60,109580998.0,109579014.547,0.0,0.0,2003.154,2003.154,0.0,2013.453,0.0,0.0,0.0,10.299,0.0,3.0,0.0,30.0,36.756,0.0,0.0,0.0,10.299,20.599,20.599,0.0,0.0,0.0,0.0,0.0,,,3.3542311779273993e-07,1.8374107160440353e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
21,2019-12-14,63,63,109580998.0,109578944.317,0.0,0.0,2052.784,2052.784,0.0,2083.683,0.0,0.0,0.0,30.898999999999997,0.0,3.0,0.0,30.0,40.229,0.0,0.0,0.0,20.599,41.199,41.199,0.0,0.0,0.0,0.0,0.0,,,3.671165688781188e-07,1.9015002947865103e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
22,2019-12-15,66,66,109580998.0,109578872.821,0.0,0.0,2093.3810000000003,2093.3810000000003,0.0,2155.179,0.0,0.0,0.0,61.798,0.0,3.0,0.0,30.0,41.494,0.0,0.0,0.0,30.898999999999997,61.798,61.798,0.0,0.0,0.0,0.0,0.0,,,3.7866054112776013e-07,1.9667451833209258e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
23,2019-12-16,69,69,109580998.0,109578799.932,0.0,0.0,2125.072,2125.072,0.0,2228.067,0.0,0.0,0.0,102.99600000000001,0.0,3.0,0.0,30.0,42.89,0.0,0.0,0.0,41.199,82.39699999999999,82.39699999999999,0.0,0.0,0.0,0.0,0.0,,,3.913999761162971e-07,2.03326036508629e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
24,2019-12-17,72,72,109580998.0,109578725.762,0.0,0.0,2144.193,2144.193,0.0,2302.238,0.0,0.0,0.0,158.046,0.0,3.0,0.0,30.0,44.17,0.0,0.0,0.0,55.049,110.099,110.099,0.0,0.0,0.0,0.0,0.0,,,4.0308083341237686e-07,2.1009463702821907e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
25,2019-12-18,75,75,109580998.0,109578650.45699999,0.0,0.0,2147.0460000000003,2147.0460000000003,0.0,2377.542,0.0,0.0,0.0,230.497,0.0,3.0,0.0,30.0,45.305,0.0,0.0,0.0,72.452,144.90300000000002,144.90300000000002,0.0,0.0,0.0,0.0,0.0,,,4.1343846859288503e-07,2.16966631386219e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
26,2019-12-19,78,78,109580998.0,109578574.21599999,0.0,0.0,2129.882,2129.882,0.0,2453.784,0.0,0.0,0.0,323.902,0.0,3.0,0.0,30.0,46.242000000000004,0.0,0.0,0.0,93.404,186.81,186.81,0.0,0.0,0.0,0.0,0.0,,,4.21989221160406e-07,2.2392422452659174e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
27,2019-12-20,81,81,109580998.0,109578497.23200001,0.0,0.0,2088.956,2088.956,0.0,2530.768,0.0,0.0,0.0,441.812,0.0,3.0,0.0,30.0,46.984,0.0,0.0,0.0,117.91,235.82,235.82,0.0,0.0,0.0,0.0,0.0,,,4.2876046812422716e-07,2.309495301366027e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
28,2019-12-21,84,84,109580998.0,109578419.78,0.0,0.0,2019.217,2019.217,0.0,2608.2200000000003,0.0,0.0,0.0,589.003,0.0,3.0,0.0,30.0,47.452,0.0,0.0,0.0,147.19,294.382,294.382,0.0,0.0,0.0,0.0,0.0,,,4.330312815731063e-07,2.3801754388110246e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
29,2019-12-22,87,87,109580998.0,109578342.21900001,0.0,0.0,1914.3070000000002,1914.3070000000002,0.0,2685.782,0.0,0.0,0.0,771.473,0.0,3.0,0.0,30.0,47.562000000000005,0.0,0.0,0.0,182.471,364.942,364.942,0.0,0.0,0.0,0.0,0.0,,,4.340351052469882e-07,2.4509559586234103e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
30,2019-12-23,90,90,109580998.0,109578264.985,0.0,0.0,1766.565,1766.565,0.0,2763.0150000000003,0.0,0.0,0.0,996.451,0.0,3.0,0.0,30.0,47.234,0.0,0.0,0.0,224.976,449.95399999999995,449.95399999999995,0.0,0.0,0.0,0.0,0.0,,,4.310418855648677e-07,2.521436243900608e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
31,2019-12-24,93,93,109580997.956,109578188.602,0.0,0.0,1653.086,1653.086,0.0,2839.398,0.0,0.0,0.044,1186.267,0.0,3.0,0.0,30.0,46.382,0.0,0.0,0.0,189.818,379.633,379.633,0.044,0.0,0.0,0.0,0.0,,,4.232668150971187e-07,2.5911006953414356e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
32,2019-12-25,96,96,109580997.868,109578113.70400001,0.0,0.0,1601.247,1601.247,0.0,2914.296,0.0,0.0,0.132,1312.916,0.0,3.0,0.0,30.0,44.899,0.0,0.0,0.0,126.649,253.298,253.298,0.088,0.0,0.0,0.0,0.0,,,4.097334471628449e-07,2.6593698329982065e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
33,2019-12-26,99,99,109580997.735,109578041.064,0.0,0.0,1647.601,1647.601,0.0,2986.936,0.0,0.0,0.265,1339.0700000000002,0.0,3.0,0.0,30.0,42.64,0.0,0.0,0.0,26.154000000000003,52.30799999999999,52.30799999999999,0.132,0.0,0.0,0.0,0.0,,,3.891185596166629e-07,2.725537330133345e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
34,2019-12-27,102,102,109580997.55900002,109577971.625,0.0,0.0,1685.104,1685.104,0.0,3056.375,0.0,0.0,0.441,1370.8319999999999,0.0,3.0,0.0,30.0,39.439,0.0,0.0,0.0,31.761000000000003,63.521,63.521,0.176,0.0,0.0,0.0,0.0,,,3.599072912141128e-07,2.7887444612416863e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
35,2019-12-28,105,105,109580997.323,109577904.64,0.0,0.0,1715.253,1715.253,0.0,3123.36,0.0,0.0,0.677,1407.431,0.0,3.0,0.0,30.0,36.985,0.0,0.0,0.0,36.599999999999994,73.2,73.2,0.23600000000000002,0.0,0.0,0.0,0.0,,,3.3751289825354786e-07,2.8496574007221403e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
36,2019-12-29,108,108,109580997.014,109577838.762,0.0,0.0,1740.761,1740.761,0.0,3189.2380000000003,0.0,0.0,0.986,1447.489,0.0,3.0,0.0,30.0,35.876000000000005,0.0,0.0,0.0,40.058,80.117,80.117,0.31,0.0,0.0,0.0,0.0,,,3.273925313475338e-07,2.9094935133622406e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
37,2019-12-30,111,111,109580996.61400001,109577771.849,0.0,0.0,1765.9579999999999,1765.9579999999999,0.0,3256.15,0.0,0.0,1.3860000000000001,1488.807,0.0,3.0,0.0,30.0,36.914,0.0,0.0,0.0,41.318,82.636,82.636,0.39999999999999997,0.0,0.0,0.0,0.0,,,3.368649778759531e-07,2.9701901794751276e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
38,2019-12-31,114,114,109580996.10900001,109577704.101,0.0,0.0,1790.493,1790.493,0.0,3323.8990000000003,0.0,0.0,1.891,1531.5140000000001,0.0,3.0,0.0,30.0,37.747,0.0,0.0,0.0,42.707,85.414,85.414,0.504,0.0,0.0,0.0,0.0,,,3.4446666247177684e-07,3.0315548479734615e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
39,2020-01-01,117,117,109580995.48,109577635.69100001,0.0,0.0,1814.292,1814.292,0.0,3392.309,0.0,0.0,2.52,1575.496,0.0,3.0,0.0,30.0,38.411,0.0,0.0,0.0,43.982,87.964,87.964,0.63,0.0,0.0,0.0,0.0,,,3.5052610931072003e-07,3.0934095690148045e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-01-02,120,120,109580994.699,109577566.724,0.0,0.0,1837.368,1837.368,0.0,3461.276,0.0,0.0,3.301,1620.607,0.0,3.0,0.0,30.0,38.967,0.0,0.0,0.0,45.111000000000004,90.223,90.223,0.7809999999999999,0.0,0.0,0.0,0.0,,,3.5559998434980076e-07,3.155633884779435e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-01-03,123,123,109580993.736,109577497.207,0.0,0.0,1859.875,1859.875,0.0,3530.793,0.0,0.0,4.264,1666.652,0.0,3.0,0.0,30.0,39.515,0.0,0.0,0.0,46.045,92.089,92.089,0.963,0.0,0.0,0.0,0.0,,,3.606008546992978e-07,3.218194031435809e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
42,2020-01-04,126,126,109580992.924,109577427.15799999,0.0,0.0,1882.33,1882.33,0.0,3600.842,0.0,0.0,5.076,1713.436,0.0,3.0,0.0,30.0,40.05,0.0,0.0,0.0,46.783,93.568,93.568,0.8119999999999999,0.0,0.0,0.0,0.0,,,3.6548309092049124e-07,3.281377457944597e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
43,2020-01-05,129,129,109580992.381,109577356.59099999,0.0,0.0,1905.106,1905.106,0.0,3671.409,0.0,0.0,5.619,1760.685,0.0,3.0,0.0,30.0,40.567,0.0,0.0,0.0,47.249,94.49799999999999,94.49799999999999,0.542,0.0,0.0,0.0,0.0,,,3.702010642407161e-07,3.345279067426664e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
44,2020-01-06,132,132,109580992.26900001,109577285.523,0.0,0.0,1928.7020000000002,1928.7020000000002,0.0,3742.477,0.0,0.0,5.731,1808.0439999999999,0.0,3.0,0.0,30.0,41.067,0.0,0.0,0.0,47.359,94.71900000000001,94.71900000000001,0.112,0.0,0.0,0.0,0.0,,,3.7476389973900317e-07,3.41003117659951e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
45,2020-01-07,135,135,109580992.135,109577213.968,0.0,0.0,1953.089,1953.089,0.0,3814.032,0.0,0.0,5.865,1855.076,0.0,3.0,0.0,30.0,41.554,0.0,0.0,0.0,47.032,94.064,94.064,0.136,0.0,0.0,0.0,0.0,,,3.7920810160951005e-07,3.4752076302690066e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
46,2020-01-08,138,138,109580991.97600001,109577141.927,0.0,0.0,1978.7870000000003,1978.7870000000003,0.0,3886.0730000000003,0.0,0.0,6.024,1901.262,0.0,3.0,0.0,30.0,42.041,0.0,0.0,0.0,46.185,92.369,92.369,0.156,0.0,0.0,0.0,0.0,,,3.8365230357841303e-07,3.5408047783047935e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
47,2020-01-09,141,141,109580991.80600001,109577069.395,0.0,0.0,2006.443,2006.443,0.0,3958.605,0.0,0.0,6.194,1945.969,0.0,3.0,0.0,30.0,42.534,0.0,0.0,0.0,44.707,89.414,89.414,0.171,0.0,0.0,0.0,0.0,,,3.881512596208414e-07,3.606839959066322e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
48,2020-01-10,144,144,109580991.62799999,109576996.35000001,0.0,0.0,2036.8519999999999,2036.8519999999999,0.0,4031.6500000000005,0.0,0.0,6.372,1988.4270000000001,0.0,3.0,0.0,30.0,43.044,0.0,0.0,0.0,42.459,84.916,84.916,0.176,0.0,0.0,0.0,0.0,,,3.928053521008789e-07,3.6733359866506876e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
49,2020-01-11,147,147,109580991.446,109576922.777,0.0,0.0,2070.9719999999998,2070.9719999999998,0.0,4105.223,0.0,0.0,6.554,2027.699,0.0,3.0,0.0,30.0,43.573,0.0,0.0,0.0,39.271,78.543,78.543,0.182,0.0,0.0,0.0,0.0,,,3.976328323464036e-07,3.740310199711751e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
50,2020-01-12,150,150,109580991.259,109576848.644,0.0,0.0,2108.089,2108.089,0.0,4179.356,0.0,0.0,6.741,2064.526,0.0,3.0,0.0,30.0,44.132,0.0,0.0,0.0,36.827,73.655,73.655,0.188,0.0,0.0,0.0,0.0,,,4.0273408273604563e-07,3.807790887871986e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
51,2020-01-13,153,153,109580991.065,109576773.90799999,0.0,0.0,2146.908,2146.908,0.0,4254.092000000001,0.0,0.0,6.9350000000000005,2100.25,0.0,3.0,0.0,30.0,44.737,0.0,0.0,0.0,35.724,71.447,71.447,0.193,0.0,0.0,0.0,0.0,,,4.0825511400479504e-07,3.875815466462354e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
52,2020-01-14,156,156,109580990.868,109576698.50299999,0.0,0.0,2185.359,2185.359,0.0,4329.496999999999,0.0,0.0,7.132,2137.006,0.0,3.0,0.0,30.0,45.405,0.0,0.0,0.0,36.758,73.51400000000001,73.51400000000001,0.197,0.0,0.0,0.0,0.0,,,4.143510625368805e-07,3.944447815047293e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
53,2020-01-15,159,159,109580990.667,109576622.344,0.0,0.0,2223.73,2223.73,0.0,4405.655,0.0,0.0,7.333,2174.594,0.0,3.0,0.0,30.0,46.158,0.0,0.0,0.0,37.587,75.172,75.172,0.2,0.0,0.0,0.0,0.0,,,4.2122269308795684e-07,4.0137636767364456e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
54,2020-01-16,162,162,109580990.46599999,109576545.364,0.0,0.0,2262.262,2262.262,0.0,4482.636,0.0,0.0,7.534000000000001,2212.84,0.0,3.0,0.0,30.0,46.981,0.0,0.0,0.0,38.247,76.495,76.495,0.203,0.0,0.0,0.0,0.0,,,4.2873312059154027e-07,4.08383058135298e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
55,2020-01-17,165,165,109580990.263,109576467.522,0.0,0.0,2301.1009999999997,2301.1009999999997,0.0,4560.478,0.0,0.0,7.737,2251.641,0.0,3.0,0.0,30.0,47.842,0.0,0.0,0.0,38.801,77.601,77.601,0.203,0.0,0.0,0.0,0.0,,,4.3659032360609943e-07,4.1546813813903194e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
56,2020-01-18,168,168,109580990.062,109576388.82599999,0.0,0.0,2340.247,2340.247,0.0,4639.174,0.0,0.0,7.938000000000001,2290.989,0.0,3.0,0.0,30.0,48.695,0.0,0.0,0.0,39.348,78.696,78.696,0.201,0.0,0.0,0.0,0.0,,,4.4437452127826895e-07,4.226313339001304e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
