,Code,Country,Severities,Trigger Dates,Score,Long Sev,Long Trig,Method
10,BE,Belgium,"[0.0, 1.0, 0.2, 0.05, 0.25, 0.85, 0.95, 0.7, 1.0, 0.0, 0.65, 0.8, 0.75, 0.8, 0.65, 0.7, 0.75, 0.8, 0.75, 0.85, 0.3, 0.45, 0.4, 0.45, 0.55, 0.55]","[1, 14, 80, 91, 98, 121, 140, 221, 246, 271, 320, 341, 358, 385, 457, 484, 511, 532, 547, 562, 589, 604, 619, 634, 649, 679]",0.014549752610237091,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.2, 0.05, 0.25, 0.85, 0.95, 0.95, 0.95, 0.7, 1.0, 0.0, 0.0, 0.0, 0.65, 0.8, 0.75, 0.8, 0.8, 0.8, 0.8, 0.65, 0.7, 0.75, 0.8, 0.75, 0.85, 0.3, 0.45, 0.4, 0.45, 0.55, 0.55, 0.55]","[1, 14, 27, 40, 53, 80, 91, 98, 121, 140, 167, 194, 221, 246, 271, 286, 297, 320, 341, 358, 385, 400, 415, 430, 457, 484, 511, 532, 547, 562, 589, 604, 619, 634, 649, 664, 679]",Old result good enough
11,BR,Brazil,"[0.0, 1.0, 0.0, 0.55, 0.7, 0.8, 0.85, 0.8, 0.75, 0.8, 0.75, 0.8, 0.65, 0.75, 0.8, 0.85, 0.8, 0.75, 0.8, 0.75, 0.8, 0.75, 0.8]","[1, 14, 89, 116, 133, 152, 171, 315, 340, 367, 382, 418, 445, 464, 481, 503, 516, 541, 562, 600, 619, 634, 679]",0.012399894550154757,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.55, 0.7, 0.8, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.8, 0.75, 0.8, 0.75, 0.75, 0.8, 0.65, 0.75, 0.8, 0.8, 0.85, 0.8, 0.75, 0.8, 0.8, 0.75, 0.8, 0.75, 0.75, 0.75, 0.8]","[1, 14, 27, 40, 53, 64, 89, 116, 133, 152, 171, 178, 185, 192, 199, 206, 213, 220, 227, 234, 241, 248, 269, 276, 283, 290, 315, 340, 367, 382, 391, 418, 445, 464, 481, 488, 503, 516, 541, 562, 573, 600, 619, 634, 649, 664, 679]",Old result good enough
12,BG,Bulgaria,"[0.0, 1.0, 0.75, 0.9, 0.85, 0.8, 0.85, 0.9, 0.65, 0.75, 0.85, 0.9, 0.85, 0.8, 0.75, 0.8, 0.85, 0.9, 0.85, 0.45, 0.5, 0.7, 0.7]","[1, 14, 107, 134, 161, 213, 249, 274, 299, 339, 358, 386, 399, 423, 436, 477, 498, 540, 551, 602, 609, 634, 682]",0.010153539607489822,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.9, 0.85, 0.85, 0.8, 0.8, 0.85, 0.9, 0.65, 0.65, 0.75, 0.85, 0.85, 0.9, 0.85, 0.85, 0.8, 0.75, 0.75, 0.75, 0.8, 0.85, 0.85, 0.9, 0.85, 0.85, 0.85, 0.45, 0.5, 0.7, 0.7, 0.7, 0.7, 0.7]","[1, 14, 27, 40, 53, 80, 107, 134, 161, 188, 213, 232, 249, 274, 299, 320, 339, 358, 365, 386, 399, 406, 423, 436, 443, 450, 477, 498, 513, 540, 551, 566, 579, 602, 609, 634, 641, 648, 655, 682]",Old result good enough
13,BA,Bosnia and Herzegovina,"[0.0, 1.0, 0.8, 0.85, 1.0, 0.6, 0.8, 0.85, 0.8, 0.65, 0.8, 0.85, 0.9, 0.85, 0.8, 0.65, 0.7, 0.8, 0.85, 0.8, 0.95, 1.0, 0.5, 0.4, 0.45, 0.7, 0.75]","[1, 14, 93, 120, 166, 193, 218, 245, 285, 312, 335, 358, 387, 398, 425, 444, 461, 480, 497, 533, 558, 569, 596, 609, 623, 646, 671]",0.012026267080465771,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.85, 0.85, 1.0, 0.6, 0.8, 0.85, 0.85, 0.8, 0.65, 0.8, 0.85, 0.85, 0.85, 0.9, 0.85, 0.85, 0.85, 0.8, 0.65, 0.75, 0.85, 0.85, 0.85, 0.85, 0.8, 0.95, 1.0, 0.4, 0.4, 0.4, 0.65, 0.75, 0.7]","[1, 14, 27, 40, 53, 66, 93, 120, 147, 166, 193, 218, 245, 258, 285, 312, 335, 358, 365, 372, 387, 398, 405, 412, 425, 444, 469, 492, 499, 506, 517, 536, 557, 570, 597, 612, 619, 640, 665, 688]",Old result good enough
14,KH,Cambodia,"[0.0, 1.0, 0.75, 0.65, 0.9, 0.6, 0.8, 0.85, 0.9, 0.8, 0.9]","[1, 14, 451, 478, 505, 532, 557, 578, 595, 640, 668]",0.013806963367638085,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.65, 0.9, 0.6, 0.8, 0.85, 0.9, 0.9, 0.8, 0.8, 0.9]","[1, 14, 27, 40, 53, 66, 79, 92, 105, 118, 131, 144, 157, 170, 183, 196, 209, 222, 235, 248, 261, 274, 287, 300, 313, 326, 339, 352, 365, 378, 391, 404, 417, 424, 451, 478, 505, 532, 557, 576, 597, 612, 639, 646, 669]",Old result good enough
15,AG,Antigua and Barbuda,"[0.0, 1.0, 0.0, 1.0, 0.9, 1.0, 0.9, 1.0, 0.1, 0.0, 0.85, 0.6, 0.7, 0.9, 0.95, 0.75, 0.8, 0.55, 0.85, 1.0, 0.6, 0.7, 0.85, 0.1, 0.8, 0.95, 0.85]","[1, 14, 93, 132, 240, 267, 294, 307, 314, 321, 381, 408, 433, 452, 465, 484, 491, 498, 519, 538, 578, 587, 600, 627, 650, 673, 690]",0.014160501812657964,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0, 0.9, 1.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.85, 0.6, 0.7, 0.9, 0.95, 0.75, 0.8, 0.55, 0.85, 1.0, 1.0, 0.6, 0.7, 0.85, 0.1, 0.8, 0.95, 0.85]","[1, 14, 27, 40, 53, 66, 79, 86, 93, 100, 109, 132, 159, 186, 213, 240, 267, 294, 307, 314, 321, 328, 335, 342, 349, 360, 381, 408, 433, 452, 465, 484, 491, 498, 519, 538, 553, 578, 587, 600, 627, 650, 673, 690]",Old result good enough
16,CA,Canada,"[0.0, 1.0, 0.0, 0.7, 0.9, 0.95, 0.8, 0.9, 0.65, 0.55, 0.75, 0.7, 0.75, 0.8, 0.85, 0.8, 0.65, 0.6, 0.7, 0.75, 0.8, 0.85, 0.6, 0.7, 0.65, 0.7]","[1, 14, 91, 118, 143, 170, 216, 243, 264, 279, 300, 325, 348, 392, 417, 444, 469, 484, 511, 534, 559, 576, 601, 618, 662, 673]",0.01320548744304563,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.7, 0.9, 0.95, 0.95, 0.8, 0.9, 0.65, 0.55, 0.75, 0.7, 0.75, 0.75, 0.75, 0.75, 0.8, 0.85, 0.8, 0.65, 0.6, 0.7, 0.75, 0.8, 0.85, 0.6, 0.7, 0.7, 0.7, 0.7, 0.65, 0.7]","[1, 14, 27, 40, 53, 80, 91, 118, 143, 170, 197, 216, 243, 264, 279, 300, 325, 348, 355, 362, 369, 392, 417, 444, 469, 484, 511, 534, 559, 576, 601, 618, 633, 640, 647, 662, 673]",Old result good enough
17,CO,Colombia,"[0.0, 1.0, 0.5, 0.75, 0.85, 0.75, 0.8, 0.85, 0.9, 0.85, 0.8, 0.85, 0.8, 0.75, 0.8, 0.85, 0.65, 0.7, 0.75, 0.7, 0.75, 0.8, 0.75, 0.7, 0.65, 0.65]","[1, 14, 93, 120, 143, 160, 212, 238, 268, 285, 308, 339, 350, 375, 401, 418, 465, 492, 505, 554, 565, 590, 609, 630, 660, 675]",0.011360963689286347,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.75, 0.85, 0.75, 0.75, 0.8, 0.8, 0.85, 0.85, 0.9, 0.85, 0.8, 0.8, 0.8, 0.85, 0.8, 0.75, 0.75, 0.8, 0.85, 0.85, 0.85, 0.65, 0.7, 0.75, 0.75, 0.75, 0.7, 0.75, 0.8, 0.75, 0.7, 0.7, 0.65, 0.65]","[1, 14, 27, 40, 53, 66, 93, 120, 143, 160, 187, 212, 219, 238, 245, 268, 285, 308, 315, 322, 339, 350, 375, 384, 401, 418, 425, 438, 465, 492, 505, 532, 539, 554, 565, 590, 609, 630, 645, 660, 675]",Old result good enough
18,BN,Brunei,"[0.0, 1.0, 0.0, 0.05, 1.0, 0.0, 0.95, 1.0, 0.95, 1.0, 0.8, 1.0, 0.25, 0.0, 0.15, 0.8, 0.9, 0.9]","[1, 14, 82, 96, 117, 157, 182, 203, 473, 500, 527, 554, 581, 608, 633, 654, 677, 684]",0.01335870100705216,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.05, 1.0, 1.0, 0.0, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 0.8, 1.0, 0.25, 0.0, 0.15, 0.8, 0.9, 0.9]","[1, 14, 27, 40, 53, 66, 75, 82, 89, 96, 117, 136, 157, 182, 203, 230, 257, 284, 311, 338, 365, 392, 419, 446, 473, 500, 527, 554, 581, 608, 633, 654, 677, 684]",reoptimized on extend
19,CG,Congo (Brazzaville),"[0.0, 1.0, 0.4, 0.9, 0.8, 0.9, 0.8, 0.85, 0.95, 0.65, 1.0, 0.9, 0.95, 0.45, 0.75, 0.85, 0.9, 0.85, 0.9, 0.7, 0.9, 0.8, 0.85, 0.9, 1.0, 0.8, 0.65, 0.7, 0.75]","[1, 14, 100, 121, 138, 163, 176, 190, 211, 236, 262, 289, 316, 339, 360, 377, 388, 409, 455, 482, 505, 530, 555, 582, 599, 614, 635, 660, 669]",0.014826715928314943,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4, 0.9, 0.8, 0.9, 0.8, 0.8, 0.85, 0.95, 0.65, 0.65, 1.0, 0.9, 0.95, 0.45, 0.75, 0.85, 0.9, 0.85, 0.85, 0.9, 0.7, 0.9, 0.8, 0.85, 0.9, 1.0, 0.8, 0.65, 0.7, 0.75]","[1, 14, 27, 40, 53, 66, 79, 100, 121, 138, 163, 176, 183, 190, 211, 236, 243, 262, 289, 316, 339, 360, 377, 388, 409, 434, 455, 482, 505, 530, 555, 582, 599, 614, 635, 660, 669]",Old result good enough
