days,compartment,population,susceptibles,total_isolated,total_infected,tested,total_infected_notisolated,total_confirmed,total_deaths,total_recovered,beta,susceptible_prop,new_tested,num_infected,num_isolated,num_isolated_infected,num_confirmed,num_recovered,new_deaths
53,Hospitals,49815.3,16220.8,0.0,17958.4,0.0,17958.4,0.0,184.7,15636.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2648.1,26.7
54,Hospitals,49788.2,16252.0,0.0,15252.2,0.0,15252.2,0.0,211.8,18284.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2679.2,27.1
55,Hospitals,49761.8,16189.3,0.0,12609.2,0.0,12609.2,0.0,238.2,20963.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2616.6,26.4
56,Hospitals,49736.9,16041.1,0.0,10115.9,0.0,10115.9,0.0,263.1,23579.9,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2468.4,24.9
57,Hospitals,49714.1,15824.1,0.0,7841.7,0.0,7841.7,0.0,285.9,26048.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2251.4,22.7
58,Hospitals,49694.1,15559.3,0.0,5835.1,0.0,5835.1,0.0,305.9,28299.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1986.5,20.1
59,Hospitals,49677.0,15267.5,0.0,4123.3,0.0,4123.3,0.0,323.0,30286.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1694.7,17.1
60,Hospitals,49662.9,14966.2,0.0,2715.8,0.0,2715.8,0.0,337.1,31980.9,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1393.4,14.1
61,Hospitals,49651.8,14667.5,0.0,1610.0,0.0,1610.0,0.0,348.2,33374.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1094.8,11.1
62,Hospitals,49643.7,14378.3,0.0,796.2,0.0,796.2,0.0,356.3,34469.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,805.6,8.1
63,Hospitals,49638.4,14100.6,0.0,263.0,0.0,263.0,0.0,361.6,35274.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,527.9,5.3
64,Hospitals,49635.7,13833.1,0.0,0.0,0.0,0.0,0.0,364.3,35802.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,260.4,2.6
65,Hospitals,49635.7,13572.7,0.0,0.0,0.0,0.0,0.0,364.3,36063.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Hospitals,49635.7,13572.7,0.0,0.0,0.0,0.0,0.0,364.3,36063.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Hospitals,49635.7,13572.7,0.0,0.0,0.0,0.0,0.0,364.3,36063.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Hospitals,49635.7,13572.7,0.0,0.0,0.0,0.0,0.0,364.3,36063.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Hospitals,49635.7,13572.7,0.0,0.0,0.0,0.0,0.0,364.3,36063.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Hospitals,49635.7,13572.7,0.0,0.0,0.0,0.0,0.0,364.3,36063.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Hospitals,49635.7,13572.7,0.0,0.0,0.0,0.0,0.0,364.3,36063.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Hospitals,49635.7,13572.7,0.0,0.0,0.0,0.0,0.0,364.3,36063.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Hospitals,49635.7,13572.7,0.0,0.0,0.0,0.0,0.0,364.3,36063.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Hospitals,49635.7,13572.7,0.0,0.0,0.0,0.0,0.0,364.3,36063.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Hospitals,49635.7,13572.7,0.0,0.0,0.0,0.0,0.0,364.3,36063.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Hospitals,49635.7,13572.7,0.0,0.0,0.0,0.0,0.0,364.3,36063.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Hospitals,49635.7,13572.7,0.0,0.0,0.0,0.0,0.0,364.3,36063.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
