days,compartment,population,susceptibles,total_isolated,total_infected,tested,total_infected_notisolated,total_confirmed,total_deaths,total_recovered,beta,susceptible_prop,new_tested,num_infected,num_isolated,num_isolated_infected,num_confirmed,num_recovered,new_deaths
37,Hospitals,2494.8,0.0,704.5,629.3,5965.2,0.0,2025.2,5.2,1865.6,0.0,0.0,49.9,0.0,3.7,0.0,3.7,62.8,0.2
38,Hospitals,2494.7,0.0,637.8,566.3,6015.1,0.0,2028.9,5.3,1928.3,0.0,0.0,49.9,0.0,3.7,0.0,3.7,56.5,0.2
39,Hospitals,2494.5,0.0,577.8,509.7,6065.0,0.0,2032.7,5.5,1984.8,0.0,0.0,49.9,0.0,3.7,0.0,3.7,50.8,0.1
40,Hospitals,2494.4,0.0,523.7,458.7,6114.9,0.0,2036.4,5.6,2035.6,0.0,0.0,49.9,0.0,3.7,0.0,3.7,45.7,0.1
41,Hospitals,2494.2,0.0,475.1,412.9,6164.8,0.0,2040.2,5.8,2081.4,0.0,0.0,49.9,0.0,3.7,0.0,3.7,41.2,0.1
42,Hospitals,2494.1,0.0,431.3,371.6,6214.7,0.0,2043.9,5.9,2122.5,0.0,0.0,49.9,0.0,3.7,0.0,3.7,37.1,0.1
43,Hospitals,2494.0,0.0,391.9,334.4,6264.5,0.0,2047.7,6.0,2159.6,0.0,0.0,49.9,0.0,3.7,0.0,3.7,33.3,0.1
44,Hospitals,2493.9,0.0,356.5,301.0,6314.4,0.0,2051.4,6.1,2192.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,30.0,0.1
45,Hospitals,2493.8,0.0,324.6,270.9,6364.3,0.0,2055.1,6.2,2223.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,27.0,0.1
46,Hospitals,2493.8,0.0,295.9,243.8,6414.2,0.0,2058.9,6.2,2250.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,24.3,0.1
47,Hospitals,2493.7,0.0,270.0,219.4,6464.1,0.0,2062.6,6.3,2274.3,0.0,0.0,49.9,0.0,3.7,0.0,3.7,21.9,0.1
48,Hospitals,2493.6,0.0,246.8,197.5,6513.9,0.0,2066.4,6.4,2296.2,0.0,0.0,49.9,0.0,3.7,0.0,3.7,19.7,0.1
49,Hospitals,2493.6,0.0,225.8,177.7,6563.8,0.0,2070.1,6.4,2315.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,17.7,0.0
50,Hospitals,2493.5,0.0,207.0,159.9,6613.7,0.0,2073.8,6.5,2333.6,0.0,0.0,49.9,0.0,3.7,0.0,3.7,16.0,0.0
51,Hospitals,2493.5,0.0,190.0,144.0,6663.5,0.0,2077.6,6.5,2349.5,0.0,0.0,49.9,0.0,3.7,0.0,3.7,14.4,0.0
52,Hospitals,2493.4,0.0,174.8,129.6,6713.4,0.0,2081.3,6.6,2363.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,12.9,0.0
53,Hospitals,2493.4,0.0,161.0,116.6,6763.3,0.0,2085.1,6.6,2376.8,0.0,0.0,49.9,0.0,3.7,0.0,3.7,11.6,0.0
54,Hospitals,2493.4,0.0,148.7,104.9,6813.1,0.0,2088.8,6.6,2388.4,0.0,0.0,49.9,0.0,3.7,0.0,3.7,10.5,0.0
55,Hospitals,2493.3,0.0,137.5,94.4,6863.0,0.0,2092.5,6.7,2398.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,9.4,0.0
56,Hospitals,2493.3,0.0,127.5,85.0,6912.9,0.0,2096.3,6.7,2408.3,0.0,0.0,49.9,0.0,3.7,0.0,3.7,8.5,0.0
57,Hospitals,2493.3,0.0,118.5,76.5,6962.7,0.0,2100.0,6.7,2416.8,0.0,0.0,49.9,0.0,3.7,0.0,3.7,7.6,0.0
58,Hospitals,2493.3,0.0,110.4,68.9,7012.6,0.0,2103.8,6.7,2424.4,0.0,0.0,49.9,0.0,3.7,0.0,3.7,6.9,0.0
59,Hospitals,2493.3,0.0,103.1,62.0,7062.5,0.0,2107.5,6.7,2431.3,0.0,0.0,49.9,0.0,3.7,0.0,3.7,6.2,0.0
60,Hospitals,2493.2,0.0,96.5,55.8,7112.3,0.0,2111.2,6.8,2437.5,0.0,0.0,49.9,0.0,3.7,0.0,3.7,5.6,0.0
61,Hospitals,2493.2,0.0,90.6,50.2,7162.2,0.0,2115.0,6.8,2443.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,5.0,0.0
62,Hospitals,2493.2,0.0,85.3,45.2,7212.1,0.0,2118.7,6.8,2448.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,4.5,0.0
63,Hospitals,2493.2,0.0,80.5,40.7,7261.9,0.0,2122.5,6.8,2452.5,0.0,0.0,49.9,0.0,3.7,0.0,3.7,4.1,0.0
64,Hospitals,2493.2,0.0,76.2,36.6,7311.8,0.0,2126.2,6.8,2456.6,0.0,0.0,49.9,0.0,3.7,0.0,3.7,3.6,0.0
65,Hospitals,2493.2,0.0,72.3,32.9,7361.7,0.0,2129.9,6.8,2460.2,0.0,0.0,49.9,0.0,3.7,0.0,3.7,3.3,0.0
66,Hospitals,2493.2,0.0,68.8,29.6,7411.5,0.0,2133.7,6.8,2463.5,0.0,0.0,49.9,0.0,3.7,0.0,3.7,3.0,0.0
67,Hospitals,2493.2,0.0,65.7,26.7,7461.4,0.0,2137.4,6.8,2466.5,0.0,0.0,49.9,0.0,3.7,0.0,3.7,2.7,0.0
68,Hospitals,2493.2,0.0,62.9,24.0,7511.3,0.0,2141.2,6.8,2469.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,2.4,0.0
69,Hospitals,2493.1,0.0,60.3,21.6,7561.1,0.0,2144.9,6.9,2471.5,0.0,0.0,49.9,0.0,3.7,0.0,3.7,2.2,0.0
70,Hospitals,2493.1,0.0,58.0,19.4,7611.0,0.0,2148.6,6.9,2473.7,0.0,0.0,49.9,0.0,3.7,0.0,3.7,1.9,0.0
71,Hospitals,2493.1,0.0,56.0,17.5,7660.8,0.0,2152.4,6.9,2475.6,0.0,0.0,49.9,0.0,3.7,0.0,3.7,1.7,0.0
72,Hospitals,2493.1,0.0,54.1,15.8,7710.7,0.0,2156.1,6.9,2477.4,0.0,0.0,49.9,0.0,3.7,0.0,3.7,1.6,0.0
