days,compartment,population,susceptibles,total_isolated,total_infected,tested,total_infected_notisolated,total_confirmed,total_deaths,total_recovered,beta,susceptible_prop,new_tested,num_infected,num_isolated,num_isolated_infected,num_confirmed,num_recovered,num_deaths
0,Hospitals,50000.0,49900.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1,Hospitals,50000.0,49800.0,0.0,869.9,0.0,869.9,0.0,0.0,0.0,0.0,1.0,0.0,769.9,0.0,0.0,0.0,0.0,0.0
2,Hospitals,50000.0,49030.1,0.0,2065.0,0.0,2065.0,17.4,0.0,0.0,0.0,1.0,1000.0,1195.1,17.4,17.4,17.4,0.0,0.0
3,Hospitals,50000.0,47835.0,17.4,3856.4,1000.0,3839.0,58.7,0.0,0.0,0.0,1.0,1000.0,1791.4,41.3,41.3,41.3,0.0,0.0
4,Hospitals,50000.0,46043.6,58.7,6462.3,2000.0,6403.6,135.5,0.0,0.0,0.0,0.9,1000.0,2605.9,76.8,76.8,76.8,0.0,0.0
5,Hospitals,50000.0,43437.7,135.5,10138.1,3000.0,10002.6,263.6,0.0,0.0,0.0,0.9,1000.0,3675.7,128.1,128.1,128.1,0.0,0.0
6,Hospitals,50000.0,39761.9,263.6,14994.4,4000.0,14730.8,463.6,0.0,0.0,0.0,0.8,1000.0,4856.3,200.1,200.1,200.1,0.0,0.0
7,Hospitals,50000.0,34905.6,463.6,21056.5,5000.0,20592.9,758.2,0.0,0.0,0.0,0.7,1000.0,6062.1,294.6,294.6,294.6,0.0,0.0
8,Hospitals,50000.0,28843.5,758.2,28111.2,6000.0,27352.9,1170.1,0.0,0.0,0.0,0.6,1000.0,7054.7,411.9,411.9,411.9,0.0,0.0
9,Hospitals,50000.0,21788.8,1170.1,35605.8,7000.0,34435.8,1717.1,0.0,0.0,0.0,0.4,1000.0,7494.7,547.1,547.1,547.1,0.0,0.0
10,Hospitals,49999.0,14294.2,1717.1,42547.8,8000.0,40830.7,2405.9,1.0,0.0,0.0,0.3,1000.0,7042.0,688.7,688.7,688.7,99.0,1.0
11,Hospitals,49991.3,7252.2,2405.9,47146.8,9000.0,44740.9,3222.5,8.7,99.0,0.0,0.1,1000.0,5368.8,816.6,816.6,816.6,762.2,7.7
12,Hospitals,49979.4,1883.3,3205.1,49059.5,10000.0,45854.4,4117.5,20.6,861.2,0.0,0.0,1000.0,3107.8,895.0,895.0,895.0,1183.2,12.0
13,Hospitals,49961.4,0.0,4058.8,48159.3,11000.0,44100.5,5034.9,38.6,2044.3,0.0,0.0,1000.0,891.2,917.5,917.5,917.5,1773.5,17.9
14,Hospitals,49935.4,0.0,4899.4,45553.3,12000.0,40653.9,5917.6,64.6,3817.8,0.0,0.0,1000.0,0.0,882.7,882.7,882.7,2579.9,26.1
15,Hospitals,49898.6,0.0,5654.1,41877.6,13000.0,36223.5,6731.7,101.4,6397.7,0.0,0.0,1000.0,0.0,814.1,814.1,814.1,3639.0,36.8
16,Hospitals,49850.1,0.0,6268.1,37021.3,14000.0,30753.1,7457.7,149.9,10036.7,0.0,0.0,1000.0,0.0,725.9,725.9,725.9,4807.7,48.6
17,Hospitals,49789.4,0.0,6699.5,30959.2,15000.0,24259.7,8074.6,210.6,14844.4,0.0,0.0,1000.0,0.0,616.9,616.9,616.9,6001.5,60.6
18,Hospitals,49718.9,0.0,6904.5,23904.5,16000.0,17000.0,8561.8,281.1,20845.9,0.0,0.0,1000.0,0.0,487.2,487.2,487.2,6984.1,70.5
19,Hospitals,49643.9,0.0,6844.7,16409.8,17000.0,9565.1,8903.8,356.1,27830.1,0.0,0.0,1000.0,0.0,341.9,341.9,341.9,7419.7,74.9
20,Hospitals,49573.5,0.0,6497.9,9367.8,18000.0,2869.9,9096.4,426.5,35249.8,0.0,0.0,1000.0,0.0,192.7,192.7,192.7,6971.6,70.4
21,Hospitals,49519.8,0.0,5874.0,3999.0,19000.0,0.0,9154.3,480.2,42221.4,0.0,0.0,1000.0,0.0,57.9,57.9,57.9,5315.1,53.7
22,Hospitals,49488.8,0.0,5036.9,891.2,20000.0,0.0,9154.3,511.2,47536.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,3076.8,31.1
23,Hospitals,49479.8,0.0,4119.4,0.0,21000.0,0.0,9154.3,520.2,50613.2,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,882.2,8.9
24,Hospitals,49479.8,0.0,3236.7,0.0,22000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Hospitals,49479.8,0.0,2422.6,0.0,23000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Hospitals,49479.8,0.0,1696.6,0.0,24000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Hospitals,49479.8,0.0,1079.7,0.0,25000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Hospitals,49479.8,0.0,592.5,0.0,26000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Hospitals,49479.8,0.0,250.6,0.0,27000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Hospitals,49479.8,0.0,57.9,0.0,28000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Hospitals,49479.8,0.0,-0.0,0.0,29000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Hospitals,49479.8,0.0,-0.0,0.0,30000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Hospitals,49479.8,0.0,-0.0,0.0,31000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Hospitals,49479.8,0.0,-0.0,0.0,32000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Hospitals,49479.8,0.0,-0.0,0.0,33000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Hospitals,49479.8,0.0,0.0,0.0,34000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Hospitals,49479.8,0.0,0.0,0.0,35000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Hospitals,49479.8,0.0,0.0,0.0,36000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Hospitals,49479.8,0.0,0.0,0.0,37000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Hospitals,49479.8,0.0,0.0,0.0,38000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Hospitals,49479.8,0.0,0.0,0.0,39000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Hospitals,49479.8,0.0,0.0,0.0,40000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Hospitals,49479.8,0.0,0.0,0.0,41000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Hospitals,49479.8,0.0,0.0,0.0,42000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Hospitals,49479.8,0.0,0.0,0.0,43000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Hospitals,49479.8,0.0,0.0,0.0,44000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Hospitals,49479.8,0.0,0.0,0.0,45000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Hospitals,49479.8,0.0,0.0,0.0,46000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Hospitals,49479.8,0.0,0.0,0.0,47000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Hospitals,49479.8,0.0,0.0,0.0,48000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Hospitals,49479.8,0.0,0.0,0.0,49000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Hospitals,49479.8,0.0,0.0,0.0,50000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Hospitals,49479.8,0.0,0.0,0.0,51000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Hospitals,49479.8,0.0,0.0,0.0,52000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Hospitals,49479.8,0.0,0.0,0.0,53000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Hospitals,49479.8,0.0,0.0,0.0,54000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Hospitals,49479.8,0.0,0.0,0.0,55000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Hospitals,49479.8,0.0,0.0,0.0,56000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Hospitals,49479.8,0.0,0.0,0.0,57000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Hospitals,49479.8,0.0,0.0,0.0,58000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Hospitals,49479.8,0.0,0.0,0.0,59000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Hospitals,49479.8,0.0,0.0,0.0,60000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Hospitals,49479.8,0.0,0.0,0.0,61000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Hospitals,49479.8,0.0,0.0,0.0,62000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Hospitals,49479.8,0.0,0.0,0.0,63000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Hospitals,49479.8,0.0,0.0,0.0,64000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Hospitals,49479.8,0.0,0.0,0.0,65000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Hospitals,49479.8,0.0,0.0,0.0,66000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Hospitals,49479.8,0.0,0.0,0.0,67000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Hospitals,49479.8,0.0,0.0,0.0,68000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Hospitals,49479.8,0.0,0.0,0.0,69000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Hospitals,49479.8,0.0,0.0,0.0,70000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Hospitals,49479.8,0.0,0.0,0.0,71000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Hospitals,49479.8,0.0,0.0,0.0,72000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Hospitals,49479.8,0.0,0.0,0.0,73000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Hospitals,49479.8,0.0,0.0,0.0,74000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Hospitals,49479.8,0.0,0.0,0.0,75000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Hospitals,49479.8,0.0,0.0,0.0,76000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Hospitals,49479.8,0.0,0.0,0.0,77000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Hospitals,49479.8,0.0,0.0,0.0,78000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Hospitals,49479.8,0.0,0.0,0.0,79000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Hospitals,49479.8,0.0,0.0,0.0,80000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Hospitals,49479.8,0.0,0.0,0.0,81000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Hospitals,49479.8,0.0,0.0,0.0,82000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Hospitals,49479.8,0.0,0.0,0.0,83000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Hospitals,49479.8,0.0,0.0,0.0,84000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Hospitals,49479.8,0.0,0.0,0.0,85000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Hospitals,49479.8,0.0,0.0,0.0,86000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Hospitals,49479.8,0.0,0.0,0.0,87000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Hospitals,49479.8,0.0,0.0,0.0,88000.0,0.0,9154.3,520.2,51495.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
